,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
62593,US,"This wine will be ideal for picnics, or to bring a little summer to the cocktail hour in the cold months. It smells like fresh-cut apples, tastes deliciously fruity and has crispness rounded off by a dash of sweetness.",Chenin Blanc,86,12.0,California,Mendocino,,Jim Gordon,@gordone_cellars,Husch 2014 Chenin Blanc (Mendocino),Chenin Blanc,Husch,white,no
62622,France,"Accented by a light touch of honey, this attractive wine is fruity, with a nutty underlying texture and a rich body. Full and ripe, it could age until 2016 although it's quite ready to drink.",Cuvée Millesimé Brut,88,22.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Vignoble Brisebarre 2009 Cuvée Millesimé Brut  (Vouvray),Chenin Blanc,Vignoble Brisebarre,white,no
62881,US,"Give credit to Ballentine for sticking by this variety even when it's such a hard sell. It's a good wine, crisp and minerally, with sweet Pinot Grigio-like citrus, vanilla and spice flavors.",Estate,86,16.0,California,Napa Valley,Napa,,,Ballentine 2010 Estate Chenin Blanc (Napa Valley),Chenin Blanc,Ballentine,white,no
62897,France,A wine that contrasts extreme sweetness with freshness. It has beautiful acidity as well as a great swathe of sweet peach and orange laced with honeyed cream.,Carte d'Or,92,,Loire Valley,Coteaux du Layon,,Roger Voss,@vossroger,Domaine des Baumard 2009 Carte d'Or Chenin Blanc (Coteaux du Layon),Chenin Blanc,Domaine des Baumard,white,no
62944,Australia,"Offers predominantly pear aromas and flavors, with a minerally feel that continues through the finish. It's a light, clean quaff that's just right for drinks on the veranda. The Chenin comes from 5 or 6 area growers, one of whom has 82-year-old Chenin bushvines. BB?",Chenin Blanc,87,16.0,South Australia,McLaren Vale,,,,Coriole 2004 Chenin Blanc (McLaren Vale),Chenin Blanc,Coriole,white,no
63278,France,"This is a spicy wine, its fruit merged with toastiness and almond flavors. Fermentation in wood has created a wine that has layers of flavors as well as crisp honeyed fruit and acidity. The wine is ready to drink.",Cuvée Premium,88,24.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine la Croix des Vainqueurs 2014 Cuvée Premium  (Vouvray),Chenin Blanc,Domaine la Croix des Vainqueurs,white,no
63362,South Africa,"This is a rich and attractive Chenin, with initial scents of honeycomb, yellow flowers, honey-drizzled apple and soft pear. Round and lush, the flavors are ripe and mouthfilling, with flavors of grilled apple, honeydew, orange oil, sweet spice and toast that  linger through the finish.",Anima,88,30.0,Paarl,,,Lauren Buzzeo,@laurbuzz,Avondale 2011 Anima Chenin Blanc (Paarl),Chenin Blanc,Avondale,white,no
63866,US,"Greg Graziano's Chenin, grown in a 30-plus-year-old vineyard, among the last of its kind in Mendocino County, is crisp and nutty, supported by dried apple, honey and melon-tinged minerality. Fermented in all French oak barrels, the wine has a calming roundness amid its acidity.",Chenin Blanc,87,14.0,California,Mendocino,,Virginie Boone,@vboone,Graziano 2010 Chenin Blanc (Mendocino),Chenin Blanc,Graziano,white,no
64195,US,"Chenin Blanc may arguably be the least-appreciated great white grape in the world; outside of the Loire valley, no one bothers to showcase it. But Washington state has some Chenin vines approaching 30 years of age, and that fruit is the centerpiece of this ripe, round, floral and slightly spritzy offering from Pacific Rim. Fruit flavors of ripe pear and key lime make this a vivacious and lip-smacking crowd-pleaser, lifted with natural acids and finished at just 12.5% alcohol.",Chenin Blanc,89,11.0,America,,,Paul Gregutt,@paulgwine ,Pacific Rim 2006 Chenin Blanc (America),Chenin Blanc,Pacific Rim,white,no
64380,South Africa,"Flavorful and harmonious, seductive notes of soft toast and walnut shell add dimension to the honeydew, red apple and orange zest notes. Medium weight, with good acidity and a lasting finish, this is balanced and approachable now, with all of the elements working together.",Reserve,89,24.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Land of Hope 2010 Reserve Chenin Blanc (Stellenbosch),Chenin Blanc,Land of Hope,white,no
64391,South Africa,"There's a strong herbal backbone to the core of this wine, surrounded by fleshy notes of melon and white peach. The earthy notes mix with a lime rind freshness on the palate, with a nice tropical fruit flavor that stays well into the close. Drink now.",Chenin Blanc,89,18.0,Swartland,,,Lauren Buzzeo,@laurbuzz,Spice Route 2010 Chenin Blanc (Swartland),Chenin Blanc,Spice Route,white,no
65029,South Africa,"This exemplary Chenin starts with aromas of peach, pineapple and vanilla, rolling into juicy flavors of melon, honey and rich fruit. Balanced and with a slightly creamy mouthfeel, the wine is elegant but approachable enough for every day. Pair with salad, seafood. Imported by GBW, LLC.",Gamekeeper's Reserve,88,16.0,Stellenbosch,,,Susan Kostrzewa,@suskostrzewa,Graham Beck 2008 Gamekeeper's Reserve Chenin Blanc (Stellenbosch),Chenin Blanc,Graham Beck,white,no
65419,US,"This seems to be a little on the watery side; it does not have the floral highlights that Chenin can sometimes show, nor the fruit concentration that would elevate the score. It's clean and quaffable, with very light citrus and apple fruit flavors.",Sunbreak,85,17.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Convergence Zone 2009 Sunbreak Chenin Blanc (Columbia Valley (WA)),Chenin Blanc,Convergence Zone,white,no
65664,US,This is an enticingly fragrant wine with notes of pear and melon. It drinks off dry with sweet fruit flavors that linger on the finish.,Chenin Blanc,87,15.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Kyra 2013 Chenin Blanc (Columbia Valley (WA)),Chenin Blanc,Kyra,white,no
65683,France,"This is a fresh, almond and apple-flavored sparkling wine. With crisp acidity and some attractive bottle aging, it's ripe but cut by a steely aftertaste, and is ready to drink.",Cuvée T,87,25.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Vincent Carême 2012 Cuvée T  (Vouvray),Chenin Blanc,Domaine Vincent Carême,white,no
65686,France,"Only red wine can be produced under the Cahors appellation, so this is released as a Côtes du Lot. It does however come from the Château de Mercuès vineyard, producing a floral, fresh and creamed-apple flavored wine. It is now ready to drink.",Chenin de Mercuès,87,29.0,Southwest France,Côtes du Lot,,Roger Voss,@vossroger,Georges Vigouroux 2012 Chenin de Mercuès Chenin Blanc (Côtes du Lot),Chenin Blanc,Georges Vigouroux,white,no
65786,France,"This 100% Chenin Blanc is a beautiful exaple of what the variety can express: soft florals loaded with garrigue notes alongside tropical fruit aromas of mango, guava and pineapple. It's vibrant in the mouth, with moderate acidity and a lifting backbone of lemon verbena. The finish lingers gracefully, and overall the wine is ripe and attractive without being sweet or cloying.",Dédicace,90,20.0,Languedoc-Roussillon,Limoux,,Lauren Buzzeo,@laurbuzz,Château Rives-Blanques 2008 Dédicace Chenin Blanc (Limoux),Chenin Blanc,Château Rives-Blanques,white,no
65886,France,"This wine is dry, packed with acidity at this young stage. It is crisp and lightly nutty in character, perfumed and still tangy with orange zest. Drink from 2016.",Chenin Blanc,88,15.0,Loire Valley,Anjou,,Roger Voss,@vossroger,Château de la Roulerie 2014 Chenin Blanc (Anjou),Chenin Blanc,Château de la Roulerie,white,no
66152,US,"Medium-bodied and thickly layered, this estate-grown wine shows more concentration and ripeness than it actually has, its acidity underlying a blanket of rich apple and banana flavor. It finishes crisp and clean.",Betty's Vineyard,88,28.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Ballentine 2016 Betty's Vineyard Chenin Blanc (Napa Valley),Chenin Blanc,Ballentine,white,no
66302,South Africa,"This is a fresh and bright white wine, with scents of lemon-lime, green plum and green apple that jump from the glass. The palate is easy and refreshing, as lively acidity lifts the fruity flavors of firm pear and citrus. Drink now.",Chenin Blanc,87,12.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Indaba 2014 Chenin Blanc (Western Cape),Chenin Blanc,Indaba,white,no
66459,South Africa,"This dense, full-flavored Chenin exudes ripe fruit aromas and flavors of red apple flesh, wood-grilled peach and sweet orange oil. The mouthfeel is round but not fat, with good acidity and a spicy but clean finish. Drink now–2014.",Chenin Blanc,90,27.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Remhoogte 2010 Chenin Blanc (Stellenbosch),Chenin Blanc,Remhoogte,white,no
66577,US,"There is an exuberance to the nose of this bottling, with peach and apple blossoms, honeysuckle, cherimoya and nearly a tropical, banana-like scent. Yet it tightens up nicely on the sip, where pithy apple flesh, Meyer lemon tang and Asian pear flesh combine for a zesty palate.",Chalone Vineyard,91,24.0,California,Monterey County,Central Coast,Matt Kettmann,@mattkettmann,Baker & Brain 2015 Chalone Vineyard Chenin Blanc (Monterey County),Chenin Blanc,Baker & Brain,white,no
66883,France,"Since the Baumards began bottling all their wines with screw caps, it is noticeable how much more slowly they age. This pale gold-colored wine is still so full of freshness and ripe mangos, meaning that it will age for many years yet. Honey, lemon jelly and a crisp texture add to the continuing potential of the wine. Drink from 2017.",Clos de Sainte Catherine,92,40.0,Loire Valley,Coteaux du Layon,,Roger Voss,@vossroger,Domaine des Baumard 2011 Clos de Sainte Catherine Chenin Blanc (Coteaux du Layon),Chenin Blanc,Domaine des Baumard,white,no
67125,US,"This is a crisp, creamy white wine, with lingering acidity that offers a tartness of preserved lemon and stone.",Betty's Vineyard Estate Grown,88,24.0,California,St. Helena,Napa,Virginie Boone,@vboone,Ballentine 2015 Betty's Vineyard Estate Grown Chenin Blanc (St. Helena),Chenin Blanc,Ballentine,white,no
67194,France,"This is a rich, beautifully textured dry wine. It is terroir-driven, with the volcanic soil of Savennières underlying the tight texture. By contrast, it offers hints of honey and flavors of yellow fruits balanced with fruity lemon flavors. Drink from 2017.",Chenin Blanc,92,28.0,Loire Valley,Savennières,,Roger Voss,@vossroger,Domaine des Baumard 2013  Savennières,Chenin Blanc,Domaine des Baumard,white,no
67764,France,"It would be a shame to drink this lightly sweet wine now, even though it is delicious. Rather wait to bring out a more honeyed character, attractive almond and sweet pear flavors and a fuller texture. Drink from 2016.",Chenin Blanc,88,18.0,Loire Valley,Coteaux du Layon,,Roger Voss,@vossroger,Château de la Roulerie 2013 Chenin Blanc (Coteaux du Layon),Chenin Blanc,Château de la Roulerie,white,no
67833,France,"This may be dry Chenin Blanc, but there is this tantalizing touch of honey that goes with the crisp apple and fresh quince fruits. The wine has delicious, refreshingly crisp acidity that counterbalances its natural richness.",Clos de la Division,88,25.0,Loire Valley,Anjou,,Roger Voss,@vossroger,Château la Varière 2009 Clos de la Division Chenin Blanc (Anjou),Chenin Blanc,Château la Varière,white,no
67848,France,"Given a year's aging, this Chenin Blanc has lost its initial fruitiness while gaining a more nutty, complex series of flavors. It is rich, full and packed with both acidity and baked-apple fruit flavors. The wine has potential for aging over 2–3 years.",Classic,88,19.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Marc Bredif 2010 Classic  (Vouvray),Chenin Blanc,Marc Bredif,white,no
68204,France,"Lightly off dry, this rich, smooth wine has acidity to balance the honey and ripe pineapple flavors. With some aging, it will show a delicious, ripe balance of fruit and creamy texture, with some zest to add liveliness. Drink from 2017.",Demi-Sec,90,15.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine de la Gaverie 2014 Demi-Sec  (Vouvray),Chenin Blanc,Domaine de la Gaverie,white,no
68342,South Africa,"Soft aromas of yellow apple and pear flesh dance on the nose of this delicate wine, with subtle nuances of white tea and almond lending interest. The flavors mimic the bouquet, though with a bit more intensity, while medium acidity provides good cut and refreshment through the close. Enjoy through 2018.",Le Blanc,89,16.0,Swartland,,,Lauren Buzzeo,@laurbuzz,Terre Brûlée 2015 Le Blanc Chenin Blanc (Swartland),Chenin Blanc,Terre Brûlée,white,no
68889,France,"This ripe, fruity wine has both freshness and a warmer, rounded character. Apricot and fresh white peach fruits are filled out with almond flavors as well as acidity. It's a wine to enjoy now, although it will be better from 2016",Réserve des Vignerons,86,14.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Cave de Saumur 2014 Réserve des Vignerons  (Saumur),Chenin Blanc,Cave de Saumur,white,no
68892,France,"This fruity wine has fresh pineapple, peach and white fruit flavors. It is crisp and dry, with an attractive touch of honey. This would be a great partner with Asian foods.",Le Petit Chenin,86,13.0,Loire Valley,Anjou,,Roger Voss,@vossroger,Château de la Roulerie 2014 Le Petit Chenin Chenin Blanc (Anjou),Chenin Blanc,Château de la Roulerie,white,no
69229,France,"Remniscent of almond-and-lemon pastry, this wine is layered with sliced apples and just a touch of bitter toffee. This is a wine that has a fine balance, perfumed with honey and finished with citrus acidity.",Marie de Beauregard,89,20.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Saget la Perrière 2011 Marie de Beauregard  (Vouvray),Chenin Blanc,Saget la Perrière,white,no
69245,France,"This is a young wine with some bitter almond flavors and a taut, nervy character. The wine is tight with green apple acidity showing through. Give it four years and it will be a rich, fruit-and-spice flavored wine.",Clos le Vigneau,88,18.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Château Gaudrelle 2011 Clos le Vigneau  (Vouvray),Chenin Blanc,Château Gaudrelle,white,no
69447,France,"The wine is initially soft and then begins to show a more steely, mineral character. That gives structure as well as citrus and crisp apple skin flavors. Very tight at this stage, it needs to develop, so give it until 2015.",Lieu-dit Les Epinats,87,,Loire Valley,Saumur,,Roger Voss,@vossroger,Cave de Saumur 2013 Lieu-dit Les Epinats  (Saumur),Chenin Blanc,Cave de Saumur,white,no
69774,France,"This medium-dry wine is fresh, crisp and fruity with ripe, creamy apples, honey and fine acidity. It is well balanced, the sweetness just giving the fruit a lift while keeping all its freshness.",Chenin Blanc,86,20.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine du Vieux Vauvert 2014  Vouvray,Chenin Blanc,Domaine du Vieux Vauvert,white,no
70027,US,"The aromas are watery and very faint, suggestive of kiwi, lime and vanilla. Flavors are similarly very light. What the palate gives is alcohol, acidity and sugar, with just the barest trace of citrus.",Chenin Blanc,81,9.0,Washington,Yakima Valley,Columbia Valley,,,Hoodsport 1998 Chenin Blanc (Yakima Valley),Chenin Blanc,Hoodsport,white,no
70433,France,"Floral wine, enticingly perfumed. It is dry, nutty, layered with acidity. White fruits and pineapple go with the intense lime. Worth aging for at least a year, maybe more.",Sec,90,,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine de la Rouletière 2010 Sec  (Vouvray),Chenin Blanc,Domaine de la Rouletière,white,no
70634,South Africa,"Clean, minerally, but with a spin of spice, the nose on this Chenin suggests fun. On the palate, a good balance of acid and body showcases the wine's citrus and honey flavors. Over all, a great everyday white.",Cape White,86,10.0,Coastal Region,,,Susan Kostrzewa,@suskostrzewa,The Yellow Cellar 2007 Cape White Chenin Blanc (Coastal Region),Chenin Blanc,The Yellow Cellar,white,no
70636,France,"A ripe, rounded wine, with intense flavors of apple skins, pear and white peach, with just a hint of nut. Described as dry, this has some richness to balance the definite acidity, which gives a lift but certainly no hardness.",Les Grenouilles,86,18.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine du Petit Coteau 2006 Les Grenouilles  (Vouvray),Chenin Blanc,Domaine du Petit Coteau,white,no
70643,France,"Soft and lightly sweet, this wine is clean and fresh. The white fruit flavors edge towards almond, and there is a refreshing green touch. The aftertaste has currants and sweetness.",Vallée des Jardins,86,15.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Remy-Pannier 2007 Vallée des Jardins  (Vouvray),Chenin Blanc,Remy-Pannier,white,no
70981,South Africa,"This is a lush, creamy Chenin, brimming with rich notes of honeycomb, honeydew, ripe peach and orange cream. The palate is full and toasty, though ample acidity helps to keep the mouthfeel bright. Notes of baking spice and toasted nuts unfold on the back and linger long on the close. It's delicious now, but should hold and evolve well through 2021.",Reserve,92,35.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,DeMorgenzon 2015 Reserve Chenin Blanc (Stellenbosch),Chenin Blanc,DeMorgenzon,white,no
71152,France,This wine's richness is masked by acidity and given a mineral texture. Apples mingle with green plums and a herbal character. The powerful acidity is very dominant and needs to integrate.,Le Peu de la Moriette Demi-Sec,85,17.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Pichot 2012 Le Peu de la Moriette Demi-Sec  (Vouvray),Chenin Blanc,Domaine Pichot,white,no
71233,France,"This wine is marked as sec (dry) and it is certainly that. The acidity is intense, cutting through the apple fruits and almond flavors. The wine obviously needs to soften and mature for a few months, so drink from 2018.",Sec,87,18.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Château Moncontour 2016 Sec  (Vouvray),Chenin Blanc,Château Moncontour,white,no
71442,France,"This is a crisp, bone-dry wine from vines on the plateau above Vouvray. It has a strongly tangy texture, with lemon zest and tight acidity adding to minerality. It needs to calm down from its in-your-face freshness, so drink from 2017.",Chenin Blanc,87,20.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Clos du Gaimont 2013  Vouvray,Chenin Blanc,Clos du Gaimont,white,no
71445,France,"Almonds and green plum flavors give this a bright, perfumed character. Produced with organically grown grapes, it is fruity, touched by minerality and layered with intense, juicy acidity. Drink now.",Sec,87,17.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine du Petit Coteau 2014 Sec  (Vouvray),Chenin Blanc,Domaine du Petit Coteau,white,no
71680,France,"An off-dry, full-bodied Chenin Blanc, this wine brings together bitter almond and white-fruit flavors, cut with acidity and topped off with a creamy pear texture. Ready to drink.",Demi-sec,86,,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine de Vaugondy 2011 Demi-sec  (Vouvray),Chenin Blanc,Domaine de Vaugondy,white,no
71825,South Africa,"A brilliant gold color in the glass, this opens with rich aromas of grilled apple, buttered toast, ripe melon and a touch of honey. The round, lush texture is balanced by lifting acidity, which also keeps the ripe stone fruit and sweet spice flavors clean and lifted on the lingering finish. Drink now–2016.",The Bernard Series Limited Release Old Vine,90,22.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Bellingham 2012 The Bernard Series Limited Release Old Vine Chenin Blanc (Coastal Region),Chenin Blanc,Bellingham,white,no
72044,France,"This is a crisp, bone-dry wine from vines on the plateau above Vouvray. It has a strongly tangy texture, with lemon zest and tight acidity adding to minerality. It needs to calm down from its in-your-face freshness, so drink from 2017.",Chenin Blanc,87,20.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Clos du Gaimont 2013  Vouvray,Chenin Blanc,Clos du Gaimont,white,no
72047,France,"Almonds and green plum flavors give this a bright, perfumed character. Produced with organically grown grapes, it is fruity, touched by minerality and layered with intense, juicy acidity. Drink now.",Sec,87,17.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine du Petit Coteau 2014 Sec  (Vouvray),Chenin Blanc,Domaine du Petit Coteau,white,no
72076,France,"This is a liquorous wine, still with its youthful yellow-fruit and honey flavors that are cut with the dry botrytis core. The wine is rich and with a fine balance between the opulence and acidity. This is a wine to savor now, although it will also age further, certainly until 2023.",Chenin Blanc,91,60.0,Loire Valley,Coteaux du Layon,,Roger Voss,@vossroger,Moulin Touchais 2005 Chenin Blanc (Coteaux du Layon),Chenin Blanc,Moulin Touchais,white,no
72310,South Africa,"Beaumont's Hope Marguerite is always a stunner. The 2015 bottling opens with forward fynbos and baking-spice aromas that are supported by notes of red apple, orange blossom and fennel. The medium-weight mouthfeel boasts rich flavors of spiced citrus and apple pie, with waves of toasted spice and honeyed almond dancing through the long, evolving finish. It's a complex wine that should drink well through 2022.",Hope Marguerite,92,40.0,Bot River,,,Lauren Buzzeo,@laurbuzz,Beaumont 2015 Hope Marguerite Chenin Blanc (Bot River),Chenin Blanc,Beaumont,white,no
72545,South Africa,"With 10% Viognier added to this Chenin, there is a forward, earthy character to this wine, like a mix of honeysuckle and citrus-scented fynbos. The medium-weight palate shows melon and tropical fruit flavors while a lemon-lime accent freshens up the close.",Chenin Blanc,86,8.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Essay 2011 Chenin Blanc (Western Cape),Chenin Blanc,Essay,white,no
72547,South Africa,"Pear, white melon rind and faint guava notes grace the bouquet of this fresh and inviting wine. The ripe, round mouthfeel is balanced and approachable, with a refreshing lime-zest infused finish. Drink now.",Chenin Blanc,86,11.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,La Capra Presented by Fairview 2010 Chenin Blanc (Western Cape),Chenin Blanc,La Capra Presented by Fairview,white,no
72553,South Africa,"This is light, bright and easy, with clean notes of Granny Smith apple, pear, and a hint of fresh grass. The tart palate is sharp but refreshing, with a medium-length, mouthwatering finish.",Chenin Blanc,86,10.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Six Hats 2011 Chenin Blanc (Western Cape),Chenin Blanc,Six Hats,white,no
72600,South Africa,"This complex, assertive dessert wine starts with aromas of orange marmalade, honey and tobacco spice, and on the palate, its smooth, integrated flavors of honey, citrus, cigarbox and spice are both elegant and unique. Its spicy, dry finish is an extra boost.",Estate Noble Late Harvest,89,20.0,Stellenbosch,,,Susan Kostrzewa,@suskostrzewa,Morgenhof 2002 Estate Noble Late Harvest Chenin Blanc (Stellenbosch),Chenin Blanc,Morgenhof,white,no
72673,France,"This off-dry wine offers fresh acidity and delicious hints of honey and yellow fruits. It is fruity, rich while still full of the typical freshness of young Chenin Blanc. Let the wine round out and drink from 2017.",Le Peu de la Moriette Demi-Sec,86,20.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Pichot 2014 Le Peu de la Moriette Demi-Sec  (Vouvray),Chenin Blanc,Domaine Pichot,white,no
72678,US,"Aromas of melon, starfruit and yellow apple lead to off-dry fruit flavors. It seems a bit sweet compared to the acid that's in the glass.",Le Cortège,86,20.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Ancestry 2014 Le Cortège Chenin Blanc (Columbia Valley (WA)),Chenin Blanc,Ancestry,white,no
72684,France,"This is a crisply structured wine, with attractive yellow fruits, a touch of honey and pineapple acidity. It's delicious, perfumed and fresh, and ready to drink now.",Lieu-dit Cocagne,86,15.0,Loire Valley,Coteaux du Vendômois,,Roger Voss,@vossroger,Cave Cooperative du Vendômois 2014 Lieu-dit Cocagne Chenin Blanc (Coteaux du Vendômois),Chenin Blanc,Cave Cooperative du Vendômois,white,no
73224,France,"This is a rich, beautifully textured dry wine. It is terroir-driven, with the volcanic soil of Savennières underlying the tight texture. By contrast, it offers hints of honey and flavors of yellow fruits balanced with fruity lemon flavors. Drink from 2017.",Chenin Blanc,92,28.0,Loire Valley,Savennières,,Roger Voss,@vossroger,Domaine des Baumard 2013  Savennières,Chenin Blanc,Domaine des Baumard,white,no
73565,South Africa,"Accents of flint and charred apple skin mingle with the orange rind and pear flesh notes on the nose and mouth. Round and flabby on the palate, with a short but clean finish.",Chenin Blanc,85,10.0,Robertson,,,Lauren Buzzeo,@laurbuzz,Robertson Winery 2011 Chenin Blanc (Robertson),Chenin Blanc,Robertson Winery,white,no
73579,South Africa,"Pretty aromas of yellow florals, wood-grilled red apple and walnut skin lead the bouquet of this wine, while continued rich flavors of red apple flesh and Key lime pie unfold in the round and softly fat mouth.",Made With Organically Grown Grapes,85,10.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Releaf 2011 Made With Organically Grown Grapes Chenin Blanc (Western Cape),Chenin Blanc,Releaf,white,no
74133,South Africa,"There's a natural essence to this wine, exhibiting the best qualities of the grape as well as a sense of terroir. Soft herbal and mineral accent the clean, fruity core. Green pear, melon rind and a hint of peach pit unfold on the palate and follow through to the long, slightly spiced finish. Perfectly drinkable now, but will cellar nicely for another 3-5 years.",Organic Grapes,90,30.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Reyneke 2010 Organic Grapes Chenin Blanc (Stellenbosch),Chenin Blanc,Reyneke,white,no
74134,South Africa,"This wine starts off with an enticing honeycomb and baked apple aroma, followed by secondary accents of baking spice and orange zest. The fully textured mouth is loaded with dried peach and apricot flavors, followed by a nice citrus zip that adds spring to the long finish.",Noble Late Harvest,90,27.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Rudera 2008 Noble Late Harvest Chenin Blanc (Stellenbosch),Chenin Blanc,Rudera,white,no
74142,South Africa,"Made with grapes sourced from 40-year-old bush vines, this Chenin boasts savory herb notes alongside the creamy peach, fig and sweet lime fruit. The medium-weight palate shows well-integrated oak notes that complement the earthy, herbal character. The texture is somewhat nervy now, but this should really start to shine from 2014 on.",The Bernard Series Limited Release Old Vine,90,50.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Bellingham 2011 The Bernard Series Limited Release Old Vine Chenin Blanc (Coastal Region),Chenin Blanc,Bellingham,white,no
74165,France,"An attractively balanced wine, it comes across as soft and creamy while also having spice and an almond bite. With its tight lime acidity, it is just passing its first flush of youth and needs to age. Drink from 2016.",Les Rotissants,89,20.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Domaine de la Perruche 2011 Les Rotissants  (Saumur),Chenin Blanc,Domaine de la Perruche,white,no
75142,France,Nuts and lemons are the main flavors of this light and fruity wine. Acidity cuts through the lightly mineral texture. Drink now.,Jovly,84,17.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Caves du Val de France 2013 Jovly  (Vouvray),Chenin Blanc,Caves du Val de France,white,no
75373,US,"Dry Creek has made yet another delicious Chenin Blanc at a screaming fair price. Pleasantly and conservatively sweet in smell and taste, it shows nice melon and pineapple flavors, with a fresh, creamy texture. Fermented in stainless steel, the wine has 0.6% residual sugar.",Dry,87,12.0,California,Clarksburg,Central Valley,Virginie Boone,@vboone,Dry Creek Vineyard 2011 Dry Chenin Blanc (Clarksburg),Chenin Blanc,Dry Creek Vineyard,white,no
75654,US,"VS stands for “Vouvray Style,” a nod to the Loire Valley. Notes of citrus and mineral stand out first, seeming almost tart, like a squeeze of lemon, followed by a touch of almond. Pair this with seafood, especially scallops or raw oysters.",VS,87,24.0,California,Clarksburg,Central Valley,Virginie Boone,@vboone,Clarksburg Wine Company 2010 VS Chenin Blanc (Clarksburg),Chenin Blanc,Clarksburg Wine Company,white,no
76252,France,"Very crisp, this young, fruity wine has intense apple and citrus acidity over its bitter almond character and light mousse. It needs a few months of bottle aging to soften the acidity.",La Grande Cuvée,87,20.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Domaine de la Perruche NV La Grande Cuvée  (Saumur),Chenin Blanc,Domaine de la Perruche,white,no
76414,South Africa,"Simonsig's 2015 Avec Chêne is a bit more retrained in its overt woodiness than previous bottlings, with herbal notes of grass and fynbos before fruit tones of green plum and white melon. The fresh and easy palate offers bright acidity and juicy flavors of citrus and apple, framed by spice and toast accents. Well balanced and accessible now, enjoy through 2020.",Chenin Avec Chêne Wooded,90,36.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Simonsig 2015 Chenin Avec Chêne Wooded Chenin Blanc (Stellenbosch),Chenin Blanc,Simonsig,white,no
76753,France,"While this wine is certainly sweet with yellow fruits and plenty of ripe honey flavors, it also has a beautiful streak of acidity that allows the wine to be crisply textured. There are spice, great fruitiness and a bright tight aftertaste. Drink now, or better from 2020.",Le Bouchet Moelleux,92,22.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine la Croix des Vainqueurs 2016 Le Bouchet Moelleux  (Vouvray),Chenin Blanc,Domaine la Croix des Vainqueurs,white,no
77112,South Africa,"A light, softly spiced nose of pineapple, apricot and honey starts this elegant wine off right. On the palate, fresh, clean, friendly flavors are unfolding but instantly likeable. A food-friendly sip that will pair with fish, poultry and ethnic cuisine.",Chenin Blanc,87,15.0,Western Cape,,,Susan Kostrzewa,@suskostrzewa,Allée Bleue 2007 Chenin Blanc (Western Cape),Chenin Blanc,Allée Bleue,white,no
